Timestep, S, V, S+V, I+VI, R, I, VI
1, 199994, 0, 199994, 6, 0, 6, 0
2, 199988, 0, 199988, 12, 0, 12, 0
3, 199983, 0, 199983, 17, 0, 17, 0
4, 199973, 0, 199979, 21, 6, 21, 0
5, 199965, 0, 199977, 23, 12, 23, 0
6, 199957, 0, 199974, 26, 17, 26, 0
7, 199941, 0, 199968, 32, 27, 32, 0
8, 199930, 0, 199965, 35, 35, 35, 0
9, 199918, 0, 199961, 39, 43, 39, 0
10, 199901, 0, 199960, 40, 59, 40, 0
11, 199881, 0, 199951, 49, 70, 49, 0
12, 199860, 0, 199942, 58, 82, 58, 0
13, 199839, 0, 199938, 62, 99, 62, 0
14, 199815, 0, 199934, 66, 119, 66, 0
15, 199793, 0, 199933, 67, 140, 67, 0
16, 199772, 0, 199933, 67, 161, 67, 0
17, 199749, 0, 199934, 66, 185, 66, 0
18, 199732, 0, 199939, 61, 207, 61, 0
19, 199716, 0, 199944, 56, 228, 56, 0
20, 199695, 0, 199946, 54, 251, 54, 0
21, 199680, 0, 199948, 52, 268, 52, 0
22, 199666, 0, 199950, 50, 284, 50, 0
23, 199650, 0, 199955, 45, 305, 45, 0
24, 199630, 0, 199950, 50, 320, 50, 0
25, 199606, 0, 199940, 60, 334, 60, 0
26, 199583, 0, 199933, 67, 350, 67, 0
27, 199559, 0, 199929, 71, 370, 71, 0
28, 199540, 0, 199934, 66, 394, 66, 0
29, 199520, 0, 199937, 63, 417, 63, 0
30, 199502, 0, 199943, 57, 441, 57, 0
31, 199483, 0, 199943, 57, 460, 57, 0
32, 199469, 0, 199949, 51, 480, 51, 0
33, 199445, 0, 199943, 57, 498, 57, 0
34, 199429, 0, 199946, 54, 517, 54, 0
35, 199410, 0, 199941, 59, 531, 59, 0
36, 199387, 0, 199942, 58, 555, 58, 0
37, 199367, 0, 199938, 62, 571, 62, 0
38, 199347, 0, 199937, 63, 590, 63, 0
39, 199322, 0, 199935, 65, 613, 65, 0
40, 199296, 0, 199929, 71, 633, 71, 0
41, 199267, 0, 199920, 80, 653, 80, 0
42, 199231, 0, 199909, 91, 678, 91, 0
43, 199194, 0, 199898, 102, 704, 102, 0
44, 199151, 0, 199884, 116, 733, 116, 0
45, 199103, 0, 199872, 128, 769, 128, 0
46, 199068, 0, 199874, 126, 806, 126, 0
47, 199016, 0, 199865, 135, 849, 135, 0
48, 198972, 0, 199869, 131, 897, 131, 0
49, 198924, 0, 199856, 144, 932, 144, 0
50, 198878, 0, 199862, 138, 984, 138, 0
51, 198428, 400, 199856, 144, 1028, 144, 0
52, 197965, 800, 199841, 159, 1076, 159, 0
53, 197501, 1200, 199823, 177, 1122, 177, 0
54, 197031, 1600, 199803, 197, 1172, 197, 0
55, 196551, 1999, 199785, 215, 1235, 214, 1
56, 196092, 2399, 199790, 210, 1299, 209, 1
57, 195611, 2799, 199779, 221, 1369, 220, 1
58, 195132, 3198, 199780, 220, 1450, 219, 1
59, 194660, 3597, 199766, 234, 1509, 232, 2
60, 194185, 3997, 199772, 228, 1590, 226, 2
61, 193714, 4394, 199778, 222, 1670, 218, 4
62, 193249, 4793, 199785, 215, 1743, 211, 4
63, 192778, 5192, 199788, 212, 1818, 208, 4
64, 192313, 5589, 199794, 206, 1892, 202, 4
65, 191836, 5988, 199782, 218, 1958, 214, 4
66, 191382, 6386, 199798, 202, 2030, 198, 4
67, 190915, 6784, 199797, 203, 2098, 200, 3
68, 190438, 7184, 199798, 202, 2176, 199, 3
69, 189984, 7583, 199799, 201, 2232, 199, 2
70, 189525, 7983, 199809, 191, 2301, 190, 1
71, 189078, 8382, 199838, 162, 2378, 160, 2
72, 188623, 8780, 199836, 164, 2433, 163, 1
73, 188165, 9178, 199835, 165, 2492, 162, 3
74, 187711, 9578, 199829, 171, 2540, 168, 3
75, 187253, 9976, 199826, 174, 2597, 171, 3
76, 186788, 10376, 199821, 179, 2657, 177, 2
77, 186338, 10776, 199825, 175, 2711, 173, 2
78, 185877, 11175, 199823, 177, 2771, 176, 1
79, 185421, 11574, 199831, 169, 2836, 167, 2
80, 184979, 11974, 199839, 161, 2886, 159, 2
81, 184530, 12372, 199850, 150, 2948, 148, 2
82, 184083, 12771, 199859, 141, 3005, 139, 2
83, 183628, 13170, 199845, 155, 3047, 152, 3
84, 183178, 13568, 199844, 156, 3098, 153, 3
85, 182723, 13968, 199837, 163, 3146, 160, 3
86, 182268, 14364, 199834, 166, 3202, 161, 5
87, 181816, 14763, 199833, 167, 3254, 165, 2
88, 181371, 15161, 199841, 159, 3309, 155, 4
89, 180928, 15560, 199856, 144, 3368, 143, 1
90, 180496, 15956, 199873, 127, 3421, 124, 3
91, 180070, 16356, 199894, 106, 3468, 104, 2
92, 179633, 16752, 199897, 103, 3512, 97, 6
93, 179205, 17148, 199901, 99, 3548, 92, 7
94, 178768, 17548, 199890, 110, 3574, 106, 4
95, 178334, 17946, 199895, 105, 3615, 102, 3
96, 177897, 18345, 199889, 111, 3647, 108, 3
97, 177473, 18743, 199900, 100, 3684, 96, 4
98, 177048, 19142, 199910, 90, 3720, 87, 3
99, 176622, 19541, 199921, 79, 3758, 76, 3
100, 176200, 19940, 199924, 76, 3784, 74, 2
101, 175777, 20338, 199925, 75, 3810, 72, 3
102, 175351, 20738, 199926, 74, 3837, 71, 3
103, 174925, 21137, 199922, 78, 3860, 75, 3
104, 174498, 21536, 199919, 81, 3885, 79, 2
105, 174070, 21936, 199917, 83, 3911, 81, 2
106, 173649, 22334, 199921, 79, 3938, 76, 3
107, 173226, 22734, 199926, 74, 3966, 72, 2
108, 172802, 23132, 199928, 72, 3994, 68, 4
