Timestep, S, V, S+V, I+VI, R, I, VI
1, 199993, 0, 199993, 7, 0, 7, 0
2, 199991, 0, 199991, 9, 0, 9, 0
3, 199986, 0, 199986, 14, 0, 14, 0
4, 199976, 0, 199983, 17, 7, 17, 0
5, 199966, 0, 199975, 25, 9, 25, 0
6, 199948, 0, 199962, 38, 14, 38, 0
7, 199939, 0, 199963, 37, 24, 37, 0
8, 199914, 0, 199948, 52, 34, 52, 0
9, 199894, 0, 199946, 54, 52, 54, 0
10, 199869, 0, 199930, 70, 61, 70, 0
11, 199836, 0, 199922, 78, 86, 78, 0
12, 199811, 0, 199917, 83, 106, 83, 0
13, 199782, 0, 199913, 87, 131, 87, 0
14, 199754, 0, 199918, 82, 164, 82, 0
15, 199727, 0, 199916, 84, 189, 84, 0
16, 199692, 0, 199910, 90, 218, 90, 0
17, 199662, 0, 199908, 92, 246, 92, 0
18, 199630, 0, 199903, 97, 273, 97, 0
19, 199597, 0, 199905, 95, 308, 95, 0
20, 199566, 0, 199904, 96, 338, 96, 0
21, 199538, 0, 199908, 92, 370, 92, 0
22, 199505, 0, 199908, 92, 403, 92, 0
23, 199472, 0, 199906, 94, 434, 94, 0
24, 199431, 0, 199893, 107, 462, 107, 0
25, 199395, 0, 199890, 110, 495, 110, 0
26, 199362, 0, 199890, 110, 528, 110, 0
27, 199326, 0, 199895, 105, 569, 105, 0
28, 199294, 0, 199899, 101, 605, 101, 0
29, 199252, 0, 199890, 110, 638, 110, 0
30, 199218, 0, 199892, 108, 674, 108, 0
31, 199181, 0, 199887, 113, 706, 113, 0
32, 199153, 0, 199901, 99, 748, 99, 0
33, 199118, 0, 199900, 100, 782, 100, 0
34, 199080, 0, 199899, 101, 819, 101, 0
35, 199050, 0, 199897, 103, 847, 103, 0
36, 199011, 0, 199893, 107, 882, 107, 0
37, 198973, 0, 199893, 107, 920, 107, 0
38, 198932, 0, 199882, 118, 950, 118, 0
39, 198892, 0, 199881, 119, 989, 119, 0
40, 198852, 0, 199879, 121, 1027, 121, 0
41, 198812, 0, 199880, 120, 1068, 120, 0
42, 198769, 0, 199877, 123, 1108, 123, 0
43, 198722, 0, 199870, 130, 1148, 130, 0
44, 198683, 0, 199871, 129, 1188, 129, 0
45, 198626, 0, 199857, 143, 1231, 143, 0
46, 198579, 0, 199857, 143, 1278, 143, 0
47, 198534, 0, 199851, 149, 1317, 149, 0
48, 198489, 0, 199863, 137, 1374, 137, 0
49, 198435, 0, 199856, 144, 1421, 144, 0
50, 198375, 0, 199841, 159, 1466, 159, 0
