Timestep, S, V, S+V, I+VI, R, I, VI
1, 199993, 0, 199993, 7, 0, 7, 0
2, 199987, 0, 199987, 13, 0, 13, 0
3, 199979, 0, 199979, 21, 0, 21, 0
4, 199973, 0, 199980, 20, 7, 20, 0
5, 199964, 0, 199977, 23, 13, 23, 0
6, 199945, 0, 199966, 34, 21, 34, 0
7, 199925, 0, 199952, 48, 27, 48, 0
8, 199906, 0, 199942, 58, 36, 58, 0
9, 199877, 0, 199932, 68, 55, 68, 0
10, 199851, 0, 199926, 74, 75, 74, 0
11, 199824, 0, 199918, 82, 94, 82, 0
12, 199804, 0, 199927, 73, 123, 73, 0
13, 199778, 0, 199927, 73, 149, 73, 0
14, 199755, 0, 199931, 69, 176, 69, 0
15, 199735, 0, 199931, 69, 196, 69, 0
16, 199720, 0, 199942, 58, 222, 58, 0
17, 199698, 0, 199943, 57, 245, 57, 0
18, 199678, 0, 199943, 57, 265, 57, 0
19, 199655, 0, 199935, 65, 280, 65, 0
20, 199632, 0, 199934, 66, 302, 66, 0
21, 199614, 0, 199936, 64, 322, 64, 0
22, 199592, 0, 199937, 63, 345, 63, 0
23, 199571, 0, 199939, 61, 368, 61, 0
24, 199542, 0, 199928, 72, 386, 72, 0
25, 199513, 0, 199921, 79, 408, 79, 0
26, 199480, 0, 199909, 91, 429, 91, 0
27, 199450, 0, 199908, 92, 458, 92, 0
28, 199413, 0, 199900, 100, 487, 100, 0
29, 199386, 0, 199906, 94, 520, 94, 0
30, 199347, 0, 199897, 103, 550, 103, 0
31, 199305, 0, 199892, 108, 587, 108, 0
32, 199263, 0, 199877, 123, 614, 123, 0
33, 199219, 0, 199872, 128, 653, 128, 0
34, 199167, 0, 199862, 138, 695, 138, 0
35, 199119, 0, 199856, 144, 737, 144, 0
36, 199070, 0, 199851, 149, 781, 149, 0
37, 199024, 0, 199857, 143, 833, 143, 0
38, 198974, 0, 199855, 145, 881, 145, 0
39, 198907, 0, 199837, 163, 930, 163, 0
40, 198841, 0, 199817, 183, 976, 183, 0
41, 198791, 0, 199817, 183, 1026, 183, 0
42, 198725, 0, 199818, 182, 1093, 182, 0
43, 198679, 0, 199838, 162, 1159, 162, 0
44, 198625, 0, 199834, 166, 1209, 166, 0
45, 198560, 0, 199835, 165, 1275, 165, 0
46, 198488, 0, 199809, 191, 1321, 191, 0
47, 198423, 0, 199798, 202, 1375, 202, 0
48, 198340, 0, 199780, 220, 1440, 220, 0
49, 198252, 0, 199764, 236, 1512, 236, 0
50, 198163, 0, 199740, 260, 1577, 260, 0
51, 197654, 399, 199713, 287, 1660, 286, 1
52, 197131, 797, 199676, 324, 1748, 322, 2
53, 196621, 1197, 199655, 345, 1837, 343, 2
54, 196095, 1596, 199638, 362, 1947, 359, 3
55, 195597, 1996, 199665, 335, 2072, 334, 1
56, 195069, 2396, 199647, 353, 2182, 353, 0
57, 194551, 2794, 199654, 346, 2309, 344, 2
58, 194053, 3190, 199650, 350, 2407, 344, 6
59, 193526, 3588, 199649, 351, 2535, 344, 7
60, 193006, 3987, 199648, 352, 2655, 346, 6
61, 192476, 4384, 199617, 383, 2757, 379, 4
62, 191937, 4781, 199604, 396, 2886, 390, 6
63, 191391, 5180, 199578, 422, 3007, 416, 6
64, 190860, 5577, 199577, 423, 3140, 417, 6
65, 190311, 5973, 199566, 434, 3282, 426, 8
66, 189785, 6369, 199583, 417, 3429, 407, 10
67, 189267, 6763, 199593, 407, 3563, 395, 12
68, 188740, 7159, 199615, 385, 3716, 371, 14
69, 188225, 7555, 199626, 374, 3846, 362, 12
70, 187698, 7954, 199622, 378, 3970, 370, 8
71, 187174, 8350, 199625, 375, 4101, 369, 6
72, 186643, 8745, 199608, 392, 4220, 385, 7
73, 186112, 9141, 199601, 399, 4348, 390, 9
74, 185592, 9531, 199599, 401, 4476, 386, 15
75, 185050, 9930, 199592, 408, 4612, 398, 10
76, 184511, 10323, 199581, 419, 4747, 404, 15
77, 183977, 10717, 199571, 429, 4877, 416, 13
78, 183434, 11110, 199564, 436, 5020, 417, 19
79, 182901, 11499, 199566, 434, 5166, 411, 23
80, 182361, 11893, 199560, 440, 5306, 418, 22
81, 181818, 12278, 199552, 448, 5456, 420, 28
82, 181295, 12670, 199565, 435, 5600, 408, 27
83, 180749, 13059, 199554, 446, 5746, 416, 30
84, 180210, 13454, 199568, 432, 5904, 410, 22
85, 179682, 13840, 199557, 443, 6035, 415, 28
86, 179128, 14231, 199551, 449, 6192, 424, 25
87, 178573, 14620, 199529, 471, 6336, 441, 30
88, 178019, 15009, 199506, 494, 6478, 464, 30
89, 177469, 15400, 199510, 490, 6641, 461, 29
90, 176921, 15791, 199519, 481, 6807, 455, 26
91, 176366, 16181, 199519, 481, 6972, 455, 26
92, 175831, 16568, 199530, 470, 7131, 441, 29
93, 175292, 16960, 199540, 460, 7288, 433, 27
94, 174763, 17349, 199565, 435, 7453, 406, 29
95, 174245, 17737, 199583, 417, 7601, 386, 31
96, 173733, 18125, 199606, 394, 7748, 359, 35
97, 173203, 18510, 199601, 399, 7888, 362, 37
98, 172706, 18900, 199624, 376, 8018, 340, 36
99, 172207, 19294, 199643, 357, 8142, 329, 28
100, 171696, 19681, 199664, 336, 8287, 309, 27
101, 171199, 20074, 199667, 333, 8394, 308, 25
102, 170697, 20464, 199660, 340, 8499, 311, 29
103, 170192, 20858, 199673, 327, 8623, 305, 22
104, 169698, 21247, 199672, 328, 8727, 303, 25
105, 169196, 21643, 199678, 322, 8839, 303, 19
106, 168700, 22033, 199683, 317, 8950, 296, 21
107, 168219, 22425, 199699, 301, 9055, 280, 21
108, 167731, 22811, 199703, 297, 9161, 266, 31
109, 167248, 23197, 199712, 288, 9267, 253, 35
110, 166761, 23589, 199706, 294, 9356, 259, 35
111, 166278, 23976, 199712, 288, 9458, 255, 33
112, 165801, 24364, 199720, 280, 9555, 250, 30
113, 165323, 24756, 199729, 271, 9650, 241, 30
114, 164833, 25146, 199725, 275, 9746, 248, 27
115, 164323, 25537, 199695, 305, 9835, 281, 24
116, 163833, 25927, 199681, 319, 9921, 292, 27
117, 163353, 26316, 199690, 310, 10021, 280, 30
118, 162870, 26698, 199708, 292, 10140, 256, 36
119, 162401, 27096, 199737, 263, 10240, 235, 28
120, 161923, 27487, 199741, 259, 10331, 232, 27
121, 161451, 27874, 199757, 243, 10432, 220, 23
122, 160989, 28261, 199753, 247, 10503, 213, 34
123, 160523, 28653, 199766, 234, 10590, 201, 33
124, 160063, 29047, 199785, 215, 10675, 188, 27
125, 159606, 29439, 199795, 205, 10750, 183, 22
126, 159145, 29834, 199803, 197, 10824, 178, 19
127, 158683, 30218, 199791, 209, 10890, 182, 27
128, 158226, 30608, 199789, 211, 10955, 181, 30
