Timestep, S, V, S+V, I+VI, R, I, VI
1, 199994, 0, 199994, 6, 0, 6, 0
2, 199990, 0, 199990, 10, 0, 10, 0
3, 199981, 0, 199981, 19, 0, 19, 0
4, 199966, 0, 199972, 28, 6, 28, 0
5, 199954, 0, 199964, 36, 10, 36, 0
6, 199940, 0, 199959, 41, 19, 41, 0
7, 199927, 0, 199961, 39, 34, 39, 0
8, 199910, 0, 199956, 44, 46, 44, 0
9, 199892, 0, 199952, 48, 60, 48, 0
10, 199867, 0, 199940, 60, 73, 60, 0
11, 199835, 0, 199925, 75, 90, 75, 0
12, 199804, 0, 199912, 88, 108, 88, 0
13, 199774, 0, 199907, 93, 133, 93, 0
14, 199744, 0, 199909, 91, 165, 91, 0
15, 199707, 0, 199903, 97, 196, 97, 0
16, 199670, 0, 199896, 104, 226, 104, 0
17, 199621, 0, 199877, 123, 256, 123, 0
18, 199585, 0, 199878, 122, 293, 122, 0
19, 199540, 0, 199870, 130, 330, 130, 0
20, 199490, 0, 199869, 131, 379, 131, 0
21, 199438, 0, 199853, 147, 415, 147, 0
22, 199385, 0, 199845, 155, 460, 155, 0
23, 199328, 0, 199838, 162, 510, 162, 0
24, 199271, 0, 199833, 167, 562, 167, 0
25, 199224, 0, 199839, 161, 615, 161, 0
26, 199166, 0, 199838, 162, 672, 162, 0
27, 199101, 0, 199830, 170, 729, 170, 0
28, 199033, 0, 199809, 191, 776, 191, 0
29, 198948, 0, 199782, 218, 834, 218, 0
30, 198838, 0, 199737, 263, 899, 263, 0
31, 198752, 0, 199719, 281, 967, 281, 0
32, 198656, 0, 199708, 292, 1052, 292, 0
33, 198538, 0, 199700, 300, 1162, 300, 0
34, 198424, 0, 199672, 328, 1248, 328, 0
35, 198291, 0, 199635, 365, 1344, 365, 0
36, 198170, 0, 199632, 368, 1462, 368, 0
37, 198045, 0, 199621, 379, 1576, 379, 0
38, 197910, 0, 199619, 381, 1709, 381, 0
39, 197782, 0, 199612, 388, 1830, 388, 0
40, 197619, 0, 199574, 426, 1955, 426, 0
41, 197459, 0, 199549, 451, 2090, 451, 0
42, 197299, 0, 199517, 483, 2218, 483, 0
43, 197127, 0, 199508, 492, 2381, 492, 0
44, 196973, 0, 199514, 486, 2541, 486, 0
45, 196814, 0, 199515, 485, 2701, 485, 0
46, 196638, 0, 199511, 489, 2873, 489, 0
47, 196457, 0, 199484, 516, 3027, 516, 0
48, 196271, 0, 199457, 543, 3186, 543, 0
49, 196047, 0, 199409, 591, 3362, 591, 0
50, 195808, 0, 199351, 649, 3543, 649, 0
51, 195186, 397, 199312, 688, 3729, 686, 2
52, 194547, 794, 199294, 706, 3953, 702, 4
53, 193899, 1191, 199282, 718, 4192, 713, 5
54, 193230, 1589, 199236, 764, 4417, 759, 5
55, 192575, 1988, 199222, 778, 4659, 775, 3
56, 191901, 2386, 199197, 803, 4910, 801, 2
57, 191208, 2783, 199172, 828, 5181, 823, 5
58, 190523, 3179, 199139, 861, 5437, 858, 3
59, 189775, 3578, 199066, 934, 5713, 932, 2
60, 189023, 3976, 199008, 992, 6009, 989, 3
61, 188285, 4375, 198958, 1042, 6298, 1040, 2
62, 187542, 4770, 198959, 1041, 6647, 1037, 4
63, 186787, 5169, 198957, 1043, 7001, 1040, 3
64, 186026, 5566, 198932, 1068, 7340, 1063, 5
65, 185288, 5964, 198940, 1060, 7688, 1057, 3
66, 184530, 6357, 198931, 1069, 8044, 1061, 8
67, 183793, 6756, 198957, 1043, 8408, 1036, 7
68, 182994, 7151, 198893, 1107, 8748, 1098, 9
69, 182199, 7547, 198859, 1141, 9113, 1132, 9
70, 181357, 7943, 198751, 1249, 9451, 1237, 12
71, 180499, 8334, 198688, 1312, 9855, 1300, 12
72, 179658, 8726, 198638, 1362, 10254, 1350, 12
73, 178813, 9114, 198627, 1373, 10700, 1355, 18
74, 177977, 9500, 198644, 1356, 11167, 1333, 23
75, 177111, 9895, 198622, 1378, 11616, 1357, 21
76, 176223, 10288, 198584, 1416, 12073, 1399, 17
77, 175348, 10679, 198550, 1450, 12523, 1433, 17
78, 174489, 11071, 198554, 1446, 12994, 1429, 17
79, 173609, 11464, 198562, 1438, 13489, 1421, 17
80, 172728, 11855, 198556, 1444, 13973, 1427, 17
81, 171890, 12246, 198576, 1424, 14440, 1408, 16
82, 171018, 12630, 198575, 1425, 14927, 1403, 22
83, 170155, 13017, 198589, 1411, 15417, 1388, 23
84, 169302, 13398, 198564, 1436, 15864, 1400, 36
85, 168445, 13788, 198585, 1415, 16352, 1381, 34
86, 167595, 14182, 198605, 1395, 16828, 1370, 25
87, 166729, 14570, 198599, 1401, 17300, 1381, 20
88, 165890, 14959, 198616, 1384, 17767, 1362, 22
89, 165031, 15354, 198608, 1392, 18223, 1371, 21
90, 164165, 15747, 198613, 1387, 18701, 1369, 18
91, 163339, 16138, 198628, 1372, 19151, 1357, 15
92, 162506, 16527, 198648, 1352, 19615, 1332, 20
93, 161667, 16917, 198672, 1328, 20088, 1309, 19
94, 160871, 17309, 198703, 1297, 20523, 1275, 22
95, 160074, 17702, 198743, 1257, 20967, 1235, 22
96, 159292, 18095, 198803, 1197, 21416, 1179, 18
97, 158500, 18482, 198802, 1198, 21820, 1177, 21
98, 157709, 18876, 198809, 1191, 22224, 1171, 20
99, 156957, 19266, 198836, 1164, 22613, 1140, 24
100, 156188, 19652, 198858, 1142, 23018, 1116, 26
101, 155452, 20043, 198910, 1090, 23415, 1061, 29
102, 154758, 20431, 198966, 1034, 23777, 1000, 34
103, 154024, 20820, 199004, 996, 24160, 969, 27
104, 153340, 21210, 199055, 945, 24505, 919, 26
105, 152658, 21596, 199065, 935, 24811, 905, 30
106, 151964, 21987, 199107, 893, 25156, 867, 26
107, 151278, 22382, 199110, 890, 25450, 870, 20
108, 150562, 22772, 199080, 920, 25746, 902, 18
109, 149907, 23160, 199116, 884, 26049, 862, 22
110, 149236, 23551, 199127, 873, 26340, 848, 25
111, 148586, 23947, 199199, 801, 26666, 784, 17
112, 147937, 24340, 199210, 790, 26933, 776, 14
113, 147278, 24729, 199220, 780, 27213, 762, 18
114, 146660, 25120, 199247, 753, 27467, 731, 22
115, 146032, 25509, 199264, 736, 27723, 712, 24
116, 145416, 25897, 199306, 694, 27993, 672, 22
117, 144800, 26288, 199308, 692, 28220, 670, 22
118, 144216, 26678, 199353, 647, 28459, 626, 21
119, 143628, 27075, 199390, 610, 28687, 593, 17
120, 143036, 27466, 199414, 586, 28912, 569, 17
