Timestep, S, V, S+V, I+VI, R, I, VI
1, 199992, 0, 199992, 8, 0, 8, 0
2, 199987, 0, 199987, 13, 0, 13, 0
3, 199982, 0, 199982, 18, 0, 18, 0
4, 199972, 0, 199980, 20, 8, 20, 0
5, 199964, 0, 199977, 23, 13, 23, 0
6, 199946, 0, 199964, 36, 18, 36, 0
7, 199918, 0, 199946, 54, 28, 54, 0
8, 199895, 0, 199931, 69, 36, 69, 0
9, 199874, 0, 199928, 72, 54, 72, 0
10, 199841, 0, 199923, 77, 82, 77, 0
11, 199813, 0, 199918, 82, 105, 82, 0
12, 199766, 0, 199892, 108, 126, 108, 0
13, 199720, 0, 199879, 121, 159, 121, 0
14, 199661, 0, 199848, 152, 187, 152, 0
15, 199609, 0, 199843, 157, 234, 157, 0
16, 199556, 0, 199836, 164, 280, 164, 0
17, 199496, 0, 199835, 165, 339, 165, 0
18, 199434, 0, 199825, 175, 391, 175, 0
19, 199375, 0, 199819, 181, 444, 181, 0
20, 199312, 0, 199816, 184, 504, 184, 0
21, 199237, 0, 199803, 197, 566, 197, 0
22, 199164, 0, 199789, 211, 625, 211, 0
23, 199083, 0, 199771, 229, 688, 229, 0
24, 198994, 0, 199757, 243, 763, 243, 0
25, 198908, 0, 199744, 256, 836, 256, 0
26, 198805, 0, 199722, 278, 917, 278, 0
27, 198715, 0, 199721, 279, 1006, 279, 0
28, 198625, 0, 199717, 283, 1092, 283, 0
29, 198543, 0, 199738, 262, 1195, 262, 0
30, 198455, 0, 199740, 260, 1285, 260, 0
31, 198383, 0, 199758, 242, 1375, 242, 0
32, 198296, 0, 199753, 247, 1457, 247, 0
33, 198191, 0, 199736, 264, 1545, 264, 0
34, 198075, 0, 199692, 308, 1617, 308, 0
35, 197967, 0, 199671, 329, 1704, 329, 0
36, 197844, 0, 199653, 347, 1809, 347, 0
37, 197712, 0, 199637, 363, 1925, 363, 0
38, 197606, 0, 199639, 361, 2033, 361, 0
39, 197493, 0, 199649, 351, 2156, 351, 0
40, 197384, 0, 199672, 328, 2288, 328, 0
41, 197270, 0, 199664, 336, 2394, 336, 0
42, 197162, 0, 199669, 331, 2507, 331, 0
43, 197043, 0, 199659, 341, 2616, 341, 0
44, 196913, 0, 199643, 357, 2730, 357, 0
45, 196758, 0, 199596, 404, 2838, 404, 0
46, 196598, 0, 199555, 445, 2957, 445, 0
47, 196436, 0, 199523, 477, 3087, 477, 0
